firstname,id,motivation,share,surname,year,gender,prize
Joseph,664,"""for an all-embracing authorship, imbued with clarity of thought and poetic intensity""",1,Brodsky,1987,male,literature
Wole,663,"""who in a wide cultural perspective and with poetic overtones fashions the drama of existence""",1,Soyinka,1986,male,literature
Claude,662,"""who in his novel combines the poet's and the painter's creativeness with a deepened awareness of time in the depiction of the human condition""",1,Simon,1985,male,literature
Jaroslav,661,"""for his poetry which endowed with freshness, sensuality and rich inventiveness provides a liberating image of the indomitable spirit and versatility of man""",1,Seifert,1984,male,literature
William,660,"""for his novels which, with the perspicuity of realistic narrative art and the diversity and universality of myth, illuminate the human condition in the world of today""",1,Golding,1983,male,literature
Gabriel,659,"""for his novels and short stories, in which the fantastic and the realistic are combined in a richly composed world of imagination, reflecting a continent's life and conflicts""",1,García Márquez,1982,male,literature
Elias,658,"""for writings marked by a broad outlook, a wealth of ideas and artistic power""",1,Canetti,1981,male,literature
Czeslaw,657,"""who with uncompromising clear-sightedness voices man's exposed condition in a world of severe conflicts""",1,Milosz,1980,male,literature
Odysseus,655,"""for his poetry, which, against the background of Greek tradition, depicts with sensuous strength and intellectual clear-sightedness modern man's struggle for freedom and creativeness""",1,Elytis,1979,male,literature
Isaac Bashevis,654,"""for his impassioned narrative art which, with roots in a Polish-Jewish cultural tradition, brings universal human conditions to life""",1,Singer,1978,male,literature
Vicente,653,"""for a creative poetic writing which illuminates man's condition in the cosmos and in present-day society, at the same time representing the great renewal of the traditions of Spanish poetry between the wars""",1,Aleixandre,1977,male,literature
Saul,652,"""for the human understanding and subtle analysis of contemporary culture that are combined in his work""",1,Bellow,1976,male,literature
Eugenio,651,"""for his distinctive poetry which, with great artistic sensitivity, has interpreted human values under the sign of an outlook on life with no illusions""",1,Montale,1975,male,literature
Eyvind,649,"""for a narrative art, far-seeing in lands and ages, in the service of freedom""",2,Johnson,1974,male,literature
Harry,650,"""for writings that catch the dewdrop and reflect the cosmos""",2,Martinson,1974,male,literature
Patrick,648,"""for an epic and psychological narrative art which has introduced a new continent into literature""",1,White,1973,male,literature
Heinrich,647,"""for his writing which through its combination of a broad perspective on his time and a sensitive skill in characterization has contributed to a renewal of German literature""",1,Böll,1972,male,literature
Pablo,645,"""for a poetry that with the action of an elemental force brings alive a continent's destiny and dreams""",1,Neruda,1971,male,literature
Aleksandr Isayevich,644,"""for the ethical force with which he has pursued the indispensable traditions of Russian literature""",1,Solzhenitsyn,1970,male,literature
Samuel,643,"""for his writing, which - in new forms for the novel and drama - in the destitution of modern man acquires its elevation""",1,Beckett,1969,male,literature
Yasunari,642,"""for his narrative mastery, which with great sensibility expresses the essence of the Japanese mind""",1,Kawabata,1968,male,literature
Miguel Angel,641,"""for his vivid literary achievement, deep-rooted in the national traits and traditions of Indian peoples of Latin America""",1,Asturias,1967,male,literature
Shmuel Yosef,639,"""for his profoundly characteristic narrative art with motifs from the life of the Jewish people""",2,Agnon,1966,male,literature
Nelly,640,"""for her outstanding lyrical and dramatic writing, which interprets Israel's destiny with touching strength"" ",2,Sachs,1966,female,literature
Mikhail Aleksandrovich,638,"""for the artistic power and integrity with which, in his epic of the Don, he has given expression to a historic phase in the life of the Russian people""",1,Sholokhov,1965,male,literature
Jean-Paul,637,"""for his work which, rich in ideas and filled with the spirit of freedom and the quest for truth, has exerted a far-reaching influence on our age""",1,Sartre,1964,male,literature
Giorgos,635,"""for his eminent lyrical writing, inspired by a deep feeling for the Hellenic world of culture""",1,Seferis,1963,male,literature
John,634,"""for his realistic and imaginative writings, combining as they do sympathetic humour and keen social perception""",1,Steinbeck,1962,male,literature
Ivo,633,"""for the epic force with which he has traced themes and depicted human destinies drawn from the history of his country""",1,Andric,1961,male,literature
Saint-John,631,"""for the soaring flight and the evocative imagery of his poetry which in a visionary fashion reflects the conditions of our time""",1,Perse,1960,male,literature
Salvatore,630,"""for his lyrical poetry, which with classical fire expresses the tragic experience of life in our own times""",1,Quasimodo,1959,male,literature
Boris Leonidovich,629,"""for his important achievement both in contemporary lyrical poetry and in the field of the great Russian epic tradition""",1,Pasternak,1958,male,literature
Albert,628,"""for his important literary production, which with clear-sighted earnestness illuminates the problems of the human conscience in our times""",1,Camus,1957,male,literature
Juan Ramón,627,"""for his lyrical poetry, which in Spanish language constitutes an example of high spirit and artistical purity""",1,Jiménez,1956,male,literature
Halldór Kiljan,626,"""for his vivid epic power which has renewed the great narrative art of Iceland""",1,Laxness,1955,male,literature
Ernest Miller,625,"""for his mastery of the art of narrative, most recently demonstrated in <I>The Old Man and the Sea,</I> and for the influence that he has exerted on contemporary style""",1,Hemingway,1954,male,literature
Sir Winston Leonard Spencer,624,"""for his mastery of historical and biographical description as well as for brilliant oratory in defending exalted human values""",1,Churchill,1953,male,literature
François,623,"""for the deep spiritual insight and the artistic intensity with which he has in his novels penetrated the drama of human life""",1,Mauriac,1952,male,literature
Pär Fabian,622,"""for the artistic vigour and true independence of mind with which he endeavours in his poetry to find answers to the eternal questions confronting mankind""",1,Lagerkvist,1951,male,literature
Earl (Bertrand Arthur William),621,"""in recognition of his varied and significant writings in which he champions humanitarian ideals and freedom of thought""",1,Russell,1950,male,literature
William,620,"""for his powerful and artistically unique contribution to the modern American novel""",1,Faulkner,1949,male,literature
Thomas Stearns,619,"""for his outstanding, pioneer contribution to present-day poetry""",1,Eliot,1948,male,literature
André Paul Guillaume,618,"""for his comprehensive and artistically significant writings, in which human problems and conditions have been presented with a fearless love of truth and keen psychological insight""",1,Gide,1947,male,literature
Hermann,617,"""for his inspired writings which, while growing in boldness and penetration, exemplify the classical humanitarian ideals and high qualities of style""",1,Hesse,1946,male,literature
Gabriela,615,"""for her lyric poetry which, inspired by powerful emotions, has made her name a symbol of the idealistic aspirations of the entire Latin American world""",1,Mistral,1945,female,literature
Johannes Vilhelm,614,"""for the rare strength and fertility of his poetic imagination with which is combined an intellectual curiosity of wide scope and a bold, freshly creative style""",1,Jensen,1944,male,literature
Frans Eemil,613,"""for his deep understanding of his country's peasantry and the exquisite art with which he has portrayed their way of life and their relationship with Nature""",1,Sillanpää,1939,male,literature
Pearl,610,"""for her rich and truly epic descriptions of peasant life in China and for her biographical masterpieces""",1,Buck,1938,female,literature
Roger,609,"""for the artistic power and truth with which he has depicted human conflict as well as some fundamental aspects of contemporary life in his novel-cycle <I>Les Thibault</I>""",1,Martin du Gard,1937,male,literature
Eugene Gladstone,608,"""for the power, honesty and deep-felt emotions of his dramatic works, which embody an original concept of tragedy""",1,O'Neill,1936,male,literature
Luigi,607,"""for his bold and ingenious revival of dramatic and scenic art""",1,Pirandello,1934,male,literature
Ivan Alekseyevich,606,"""for the strict artistry with which he has carried on the classical Russian traditions in prose writing""",1,Bunin,1933,male,literature
John,605,"""for his distinguished art of narration which takes its highest form in <I>The Forsyte Saga</I>""",1,Galsworthy,1932,male,literature
Erik Axel,604,"""The poetry of Erik Axel Karlfeldt""",1,Karlfeldt,1931,male,literature
Sinclair,603,"""for his vigorous and graphic art of description and his ability to create, with wit and humour, new types of characters""",1,Lewis,1930,male,literature
Thomas,602,"""principally for his great novel, <I>Buddenbrooks</I>, which has won steadily increased recognition as one of the classic works of contemporary literature""",1,Mann,1929,male,literature
Sigrid,601,"""principally for her powerful descriptions of Northern life during the Middle Ages""",1,Undset,1928,female,literature
Henri,600,"""in recognition of his rich and vitalizing ideas and the brilliant skill with which they have been presented""",1,Bergson,1927,male,literature
Grazia,597,"""for her idealistically inspired writings which with plastic clarity picture the life on her native island and with depth and sympathy deal with human problems in general""",1,Deledda,1926,female,literature
George Bernard,596,"""for his work which is marked by both idealism and humanity, its stimulating satire often being infused with a singular poetic beauty""",1,Shaw,1925,male,literature
Wladyslaw Stanislaw,594,"""for his great national epic, <I>The Peasants</I>""",1,Reymont,1924,male,literature
William Butler,593,"""for his always inspired poetry, which in a highly artistic form gives expression to the spirit of a whole nation""",1,Yeats,1923,male,literature
Jacinto,592,"""for the happy manner in which he has continued the illustrious traditions of the Spanish drama""",1,Benavente,1922,male,literature
Anatole,590,"""in recognition of his brilliant literary achievements, characterized as they are by a nobility of style, a profound human sympathy, grace, and a true Gallic temperament""",1,France,1921,male,literature
Knut Pedersen,589,"""for his monumental work, <I>Growth of the Soil</I>""",1,Hamsun,1920,male,literature
Carl Friedrich Georg,588,"""in special appreciation of his epic, <I>Olympian Spring</I>""",1,Spitteler,1919,male,literature
Karl Adolph,586,"""for his varied and rich poetry, which is inspired by lofty ideals""",2,Gjellerup,1917,male,literature
Henrik,587,"""for his authentic descriptions of present-day life in Denmark""",2,Pontoppidan,1917,male,literature
Carl Gustaf Verner,585,"""in recognition of his significance as the leading representative of a new era in our literature""",1,von Heidenstam,1916,male,literature
Romain,584,"""as a tribute to the lofty idealism of his literary production and to the sympathy and love of truth with which he has described different types of human beings""",1,Rolland,1915,male,literature
Rabindranath,583,"""because of his profoundly sensitive, fresh and beautiful verse, by which, with consummate skill, he has made his poetic thought, expressed in his own English words, a part of the literature of the West""",1,Tagore,1913,male,literature
Gerhart Johann Robert,582,"""primarily in recognition of his fruitful, varied and outstanding production in the realm of dramatic art""",1,Hauptmann,1912,male,literature
Count Maurice (Mooris) Polidore Marie Bernhard,581,"""in appreciation of his many-sided literary activities, and especially of his dramatic works, which are distinguished by a wealth of imagination and by a poetic fancy, which reveals, sometimes in the guise of a fairy tale, a deep inspiration, while in a mysterious way they appeal to the readers' own feelings and stimulate their imaginations""",1,Maeterlinck,1911,male,literature
Paul Johann Ludwig,580,"""as a tribute to the consummate artistry, permeated with idealism, which he has demonstrated during his long productive career as a lyric poet, dramatist, novelist and writer of world-renowned short stories""",1,Heyse,1910,male,literature
Selma Ottilia Lovisa,579,"""in appreciation of the lofty idealism, vivid imagination and spiritual perception that characterize her writings""",1,Lagerlöf,1909,female,literature
Rudolf Christoph,578,"""in recognition of his earnest search for truth, his penetrating power of thought, his wide range of vision, and the warmth and strength in presentation with which in his numerous works he has vindicated and developed an idealistic philosophy of life""",1,Eucken,1908,male,literature
Rudyard,577,"""in consideration of the power of observation, originality of imagination, virility of ideas and remarkable talent for narration which characterize the creations of this world-famous author""",1,Kipling,1907,male,literature
Giosuè,576,"""not only in consideration of his deep learning and critical research, but above all as a tribute to the creative energy, freshness of style, and lyrical force which characterize his poetic masterpieces""",1,Carducci,1906,male,literature
Henryk,575,"""because of his outstanding merits as an epic writer""",1,Sienkiewicz,1905,male,literature
Frédéric,573,"""in recognition of the fresh originality and true inspiration of his poetic production, which faithfully reflects the natural scenery and native spirit of his people, and, in addition, his significant work as a Proven&ccedil;al philologist""",2,Mistral,1904,male,literature
José,574,"""in recognition of the numerous and brilliant compositions which, in an individual and original manner, have revived the great traditions of the Spanish drama""",2,Echegaray y Eizaguirre,1904,male,literature
Bjørnstjerne Martinus,572,"""as a tribute to his noble, magnificent and versatile poetry, which has always been distinguished by both the freshness of its inspiration and the rare purity of its spirit""",1,Bjørnson,1903,male,literature
Christian Matthias Theodor,571,"""the greatest living master of the art of historical writing, with special reference to his monumental work, <I>A history of Rome</I>""",1,Mommsen,1902,male,literature
Sully,569,"""in special recognition of his poetic composition, which gives evidence of lofty idealism, artistic perfection and a rare combination of the qualities of both heart and intellect""",1,Prudhomme,1901,male,literature
William C.,916,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",4,Campbell,2015,male,physiology or medicine
Satoshi,917,"""for their discoveries concerning a novel therapy against infections caused by roundworm parasites""",4,&#332;mura,2015,male,physiology or medicine
Youyou,918,"""for her discoveries concerning a novel therapy against Malaria""",2,Tu,2015,female,physiology or medicine
John,903,"""for their discoveries of cells that constitute a positioning system in the brain""",2,O'Keefe,2014,male,physiology or medicine
May-Britt,904,"""for their discoveries of cells that constitute a positioning system in the brain""",4,Moser,2014,female,physiology or medicine
Edvard I.,905,"""for their discoveries of cells that constitute a positioning system in the brain""",4,Moser,2014,male,physiology or medicine
James E.,884,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",3,Rothman,2013,male,physiology or medicine
Randy W.,885,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",3,Schekman,2013,male,physiology or medicine
Thomas C.,886,"""for their discoveries of machinery regulating vesicle traffic, a major transport system in our cells""",3,Südhof,2013,male,physiology or medicine
Sir John B.,874,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",2,Gurdon,2012,male,physiology or medicine
Shinya,875,"""for the discovery that mature cells can be reprogrammed to become pluripotent""",2,Yamanaka,2012,male,physiology or medicine
Bruce A.,861,"""for their discoveries concerning the activation of innate immunity""",4,Beutler,2011,male,physiology or medicine
Jules A.,862,"""for their discoveries concerning the activation of innate immunity""",4,Hoffmann,2011,male,physiology or medicine
Ralph M.,863,"""for his discovery of the dendritic cell and its role in adaptive immunity""",2,Steinman,2011,male,physiology or medicine
Robert G.,848,"""for the development of in vitro fertilization""",1,Edwards,2010,male,physiology or medicine
Elizabeth H.,835,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3,Blackburn,2009,female,physiology or medicine
Carol W.,836,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3,Greider,2009,female,physiology or medicine
Jack W.,837,"""for the discovery of how chromosomes are protected by telomeres and the enzyme telomerase""",3,Szostak,2009,male,physiology or medicine
Harald,823,"""for his discovery of human papilloma viruses causing cervical cancer""",2,zur Hausen,2008,male,physiology or medicine
Françoise,824,"""for their discovery of human immunodeficiency virus""",4,Barré-Sinoussi,2008,female,physiology or medicine
Luc,825,"""for their discovery of human immunodeficiency virus""",4,Montagnier,2008,male,physiology or medicine
Mario R.,811,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",3,Capecchi,2007,male,physiology or medicine
Sir Martin J.,812,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",3,Evans,2007,male,physiology or medicine
Oliver,813,"""for their discoveries of principles for introducing specific gene modifications in mice by the use of embryonic stem cells""",3,Smithies,2007,male,physiology or medicine
Andrew Z.,802,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",2,Fire,2006,male,physiology or medicine
Craig C.,803,"""for their discovery of RNA interference - gene silencing by double-stranded RNA""",2,Mello,2006,male,physiology or medicine
Barry J.,789,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",2,Marshall,2005,male,physiology or medicine
J. Robin,790,"""for their discovery of the bacterium <i>Helicobacter pylori</i> and its role in gastritis and peptic ulcer disease""",2,Warren,2005,male,physiology or medicine
Richard,774,"""for their discoveries of odorant receptors and the organization of the olfactory system""",2,Axel,2004,male,physiology or medicine
Linda B.,775,"""for their discoveries of odorant receptors and the organization of the olfactory system""",2,Buck,2004,female,physiology or medicine
Paul C.,764,"""for their discoveries concerning magnetic resonance imaging""",2,Lauterbur,2003,male,physiology or medicine
Sir Peter,765,"""for their discoveries concerning magnetic resonance imaging""",2,Mansfield,2003,male,physiology or medicine
Sydney,750,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",3,Brenner,2002,male,physiology or medicine
H. Robert,751,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",3,Horvitz,2002,male,physiology or medicine
John E.,752,"""for their discoveries concerning genetic regulation of organ development and programmed cell death'""",3,Sulston,2002,male,physiology or medicine
Leland H.,735,"""for their discoveries of key regulators of the cell cycle""",3,Hartwell,2001,male,physiology or medicine
Tim,736,"""for their discoveries of key regulators of the cell cycle""",3,Hunt,2001,male,physiology or medicine
Sir Paul M.,737,"""for their discoveries of key regulators of the cell cycle""",3,Nurse,2001,male,physiology or medicine
Arvid,722,"""for their discoveries concerning signal transduction in the nervous system""",3,Carlsson,2000,male,physiology or medicine
Paul,723,"""for their discoveries concerning signal transduction in the nervous system""",3,Greengard,2000,male,physiology or medicine
Eric R.,724,"""for their discoveries concerning signal transduction in the nervous system""",3,Kandel,2000,male,physiology or medicine
Günter,461,"""for the discovery that proteins have intrinsic signals that govern their transport and localization in the cell""",1,Blobel,1999,male,physiology or medicine
Robert F.,458,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",3,Furchgott,1998,male,physiology or medicine
Louis J.,459,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",3,Ignarro,1998,male,physiology or medicine
Ferid,460,"""for their discoveries concerning nitric oxide as a signalling molecule in the cardiovascular system""",3,Murad,1998,male,physiology or medicine
Stanley B.,457,"""for his discovery of Prions - a new biological principle of infection""",1,Prusiner,1997,male,physiology or medicine
Peter C.,455,"""for their discoveries concerning the specificity of the cell mediated immune defence""",2,Doherty,1996,male,physiology or medicine
Rolf M.,456,"""for their discoveries concerning the specificity of the cell mediated immune defence""",2,Zinkernagel,1996,male,physiology or medicine
Edward B.,452,"""for their discoveries concerning the genetic control of early embryonic development""",3,Lewis,1995,male,physiology or medicine
Christiane,453,"""for their discoveries concerning the genetic control of early embryonic development""",3,Nüsslein-Volhard,1995,female,physiology or medicine
Eric F.,454,"""for their discoveries concerning the genetic control of early embryonic development""",3,Wieschaus,1995,male,physiology or medicine
Alfred G.,450,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",2,Gilman,1994,male,physiology or medicine
Martin,451,"""for their discovery of G-proteins and the role of these proteins in signal transduction in cells""",2,Rodbell,1994,male,physiology or medicine
Richard J.,448,"""for their discoveries of split genes""",2,Roberts,1993,male,physiology or medicine
Phillip A.,449,"""for their discoveries of split genes""",2,Sharp,1993,male,physiology or medicine
Edmond H.,446,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",2,Fischer,1992,male,physiology or medicine
Edwin G.,447,"""for their discoveries concerning reversible protein phosphorylation as a biological regulatory mechanism""",2,Krebs,1992,male,physiology or medicine
Erwin,444,"""for their discoveries concerning the function of single ion channels in cells""",2,Neher,1991,male,physiology or medicine
Bert,445,"""for their discoveries concerning the function of single ion channels in cells""",2,Sakmann,1991,male,physiology or medicine
Joseph E.,442,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",2,Murray,1990,male,physiology or medicine
E. Donnall,443,"""for their discoveries concerning organ and cell transplantation in the treatment of human disease""",2,Thomas,1990,male,physiology or medicine
J. Michael,440,"""for their discovery of the cellular origin of retroviral oncogenes""",2,Bishop,1989,male,physiology or medicine
Harold E.,441,"""for their discovery of the cellular origin of retroviral oncogenes""",2,Varmus,1989,male,physiology or medicine
Sir James W.,437,"""for their discoveries of important principles for drug treatment""",3,Black,1988,male,physiology or medicine
Gertrude B.,438,"""for their discoveries of important principles for drug treatment""",3,Elion,1988,female,physiology or medicine
George H.,439,"""for their discoveries of important principles for drug treatment""",3,Hitchings,1988,male,physiology or medicine
Susumu,436,"""for his discovery of the genetic principle for generation of antibody diversity""",1,Tonegawa,1987,male,physiology or medicine
Stanley,434,"""for their discoveries of growth factors""",2,Cohen,1986,male,physiology or medicine
Rita,435,"""for their discoveries of growth factors""",2,Levi-Montalcini,1986,female,physiology or medicine
Michael S.,432,"""for their discoveries concerning the regulation of cholesterol metabolism""",2,Brown,1985,male,physiology or medicine
Joseph L.,433,"""for their discoveries concerning the regulation of cholesterol metabolism""",2,Goldstein,1985,male,physiology or medicine
Niels K.,429,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",3,Jerne,1984,male,physiology or medicine
Georges J.F.,430,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",3,Köhler,1984,male,physiology or medicine
César,431,"""for theories concerning the specificity in development and control of the immune system and the discovery of the principle for production of monoclonal antibodies""",3,Milstein,1984,male,physiology or medicine
Barbara,428,"""for her discovery of mobile genetic elements""",1,McClintock,1983,female,physiology or medicine
Sune K.,425,"""for their discoveries concerning prostaglandins and related biologically active substances""",3,Bergström,1982,male,physiology or medicine
Bengt I.,426,"""for their discoveries concerning prostaglandins and related biologically active substances""",3,Samuelsson,1982,male,physiology or medicine
John R.,427,"""for their discoveries concerning prostaglandins and related biologically active substances""",3,Vane,1982,male,physiology or medicine
Roger W.,422,"""for his discoveries concerning the functional specialization of the cerebral hemispheres""",2,Sperry,1981,male,physiology or medicine
David H.,423,"""for their discoveries concerning information processing in the visual system""",4,Hubel,1981,male,physiology or medicine
Torsten N.,424,"""for their discoveries concerning information processing in the visual system""",4,Wiesel,1981,male,physiology or medicine
Baruj,419,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",3,Benacerraf,1980,male,physiology or medicine
Jean,420,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",3,Dausset,1980,male,physiology or medicine
George D.,421,"""for their discoveries concerning genetically determined structures on the cell surface that regulate immunological reactions""",3,Snell,1980,male,physiology or medicine
Allan M.,417,"""for the development of computer assisted tomography""",2,Cormack,1979,male,physiology or medicine
Godfrey N.,418,"""for the development of computer assisted tomography""",2,Hounsfield,1979,male,physiology or medicine
Werner,414,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",3,Arber,1978,male,physiology or medicine
Daniel,415,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",3,Nathans,1978,male,physiology or medicine
Hamilton O.,416,"""for the discovery of restriction enzymes and their application to problems of molecular genetics""",3,Smith,1978,male,physiology or medicine
Roger,411,"""for their discoveries concerning the peptide hormone production of the brain""",4,Guillemin,1977,male,physiology or medicine
Andrew V.,412,"""for their discoveries concerning the peptide hormone production of the brain""",4,Schally,1977,male,physiology or medicine
Rosalyn,413,"""for the development of radioimmunoassays of peptide hormones""",2,Yalow,1977,female,physiology or medicine
Baruch S.,409,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",2,Blumberg,1976,male,physiology or medicine
D. Carleton,410,"""for their discoveries concerning new mechanisms for the origin and dissemination of infectious diseases""",2,Gajdusek,1976,male,physiology or medicine
David,406,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",3,Baltimore,1975,male,physiology or medicine
Renato,407,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",3,Dulbecco,1975,male,physiology or medicine
Howard Martin,408,"""for their discoveries concerning the interaction between tumour viruses and the genetic material of the cell""",3,Temin,1975,male,physiology or medicine
Albert,403,"""for their discoveries concerning the structural and functional organization of the cell""",3,Claude,1974,male,physiology or medicine
Christian,404,"""for their discoveries concerning the structural and functional organization of the cell""",3,de Duve,1974,male,physiology or medicine
George E.,405,"""for their discoveries concerning the structural and functional organization of the cell""",3,Palade,1974,male,physiology or medicine
Karl,400,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",3,von Frisch,1973,male,physiology or medicine
Konrad,401,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",3,Lorenz,1973,male,physiology or medicine
Nikolaas,402,"""for their discoveries concerning organization and elicitation of individual and social behaviour patterns""",3,Tinbergen,1973,male,physiology or medicine
Gerald M.,398,"""for their discoveries concerning the chemical structure of antibodies""",2,Edelman,1972,male,physiology or medicine
Rodney R.,399,"""for their discoveries concerning the chemical structure of antibodies""",2,Porter,1972,male,physiology or medicine
Earl W.,397,"""for his discoveries concerning the mechanisms of the action of hormones""",1,"Sutherland, Jr.",1971,male,physiology or medicine
Sir Bernard,394,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",3,Katz,1970,male,physiology or medicine
Ulf,395,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",3,von Euler,1970,male,physiology or medicine
Julius,396,"""for their discoveries concerning the humoral transmittors in the nerve terminals and the mechanism for their storage, release and inactivation""",3,Axelrod,1970,male,physiology or medicine
Max,391,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",3,Delbrück,1969,male,physiology or medicine
Alfred D.,392,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",3,Hershey,1969,male,physiology or medicine
Salvador E.,393,"""for their discoveries concerning the replication mechanism and the genetic structure of viruses""",3,Luria,1969,male,physiology or medicine
Robert W.,388,"""for their interpretation of the genetic code and its function in protein synthesis""",3,Holley,1968,male,physiology or medicine
Har Gobind,389,"""for their interpretation of the genetic code and its function in protein synthesis""",3,Khorana,1968,male,physiology or medicine
Marshall W.,390,"""for their interpretation of the genetic code and its function in protein synthesis""",3,Nirenberg,1968,male,physiology or medicine
Ragnar,385,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",3,Granit,1967,male,physiology or medicine
Haldan Keffer,386,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",3,Hartline,1967,male,physiology or medicine
George,387,"""for their discoveries concerning the primary physiological and chemical visual processes in the eye""",3,Wald,1967,male,physiology or medicine
Peyton,383,"""for his discovery of tumour-inducing viruses""",2,Rous,1966,male,physiology or medicine
Charles Brenton,384,"""for his discoveries concerning hormonal treatment of prostatic cancer""",2,Huggins,1966,male,physiology or medicine
François,380,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",3,Jacob,1965,male,physiology or medicine
André,381,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",3,Lwoff,1965,male,physiology or medicine
Jacques,382,"""for their discoveries concerning genetic control of enzyme and virus synthesis""",3,Monod,1965,male,physiology or medicine
Konrad,378,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",2,Bloch,1964,male,physiology or medicine
Feodor,379,"""for their discoveries concerning the mechanism and regulation of the cholesterol and fatty acid metabolism""",2,Lynen,1964,male,physiology or medicine
Sir John Carew,375,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",3,Eccles,1963,male,physiology or medicine
Alan Lloyd,376,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",3,Hodgkin,1963,male,physiology or medicine
Andrew Fielding,377,"""for their discoveries concerning the ionic mechanisms involved in excitation and inhibition in the peripheral and central portions of the nerve cell membrane""",3,Huxley,1963,male,physiology or medicine
Francis Harry Compton,372,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",3,Crick,1962,male,physiology or medicine
James Dewey,373,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",3,Watson,1962,male,physiology or medicine
Maurice Hugh Frederick,374,"""for their discoveries concerning the molecular structure of nucleic acids and its significance for information transfer in living material""",3,Wilkins,1962,male,physiology or medicine
Georg,371,"""for his discoveries of the physical mechanism of stimulation within the cochlea""",1,von Békésy,1961,male,physiology or medicine
Sir Frank Macfarlane,369,"""for discovery of acquired immunological tolerance""",2,Burnet,1960,male,physiology or medicine
Peter Brian,370,"""for discovery of acquired immunological tolerance""",2,Medawar,1960,male,physiology or medicine
Severo,367,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",2,Ochoa,1959,male,physiology or medicine
Arthur,368,"""for their discovery of the mechanisms in the biological synthesis of ribonucleic acid and deoxyribonucleic acid""",2,Kornberg,1959,male,physiology or medicine
George Wells,364,"""for their discovery that genes act by regulating definite chemical events""",4,Beadle,1958,male,physiology or medicine
Edward Lawrie,365,"""for their discovery that genes act by regulating definite chemical events""",4,Tatum,1958,male,physiology or medicine
Joshua,366,"""for his discoveries concerning genetic recombination and the organization of the genetic material of bacteria""",2,Lederberg,1958,male,physiology or medicine
Daniel,363,"""for his discoveries relating to synthetic compounds that inhibit the action of certain body substances, and especially their action on the vascular system and the skeletal muscles""",1,Bovet,1957,male,physiology or medicine
André Frédéric,360,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3,Cournand,1956,male,physiology or medicine
Werner,361,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3,Forssmann,1956,male,physiology or medicine
Dickinson W.,362,"""for their discoveries concerning heart catheterization and pathological changes in the circulatory system""",3,Richards,1956,male,physiology or medicine
